Name;x;y;z
Gliese 190;3.52;-0.804;-1.185
11 Leonis Minoris;2.177;2.987;2.667
Gliese 479;-0.399;2.391;-3.103
Gliese 752;-2.252;-0.787;0.216
Gliese 754;-1.526;-0.562;-1.656
NN 4247;-1.594;-2.796;1.733
NN 4248;-1.596;-2.834;-2.458
Gliese 693;-1.277;0.074;-1.994
Gliese 694;-2.805;0.196;2.657
Gliese 275.2;2.897;1.21;3.515
NN 3233;3.948;-2.966;3.867
HD 265866;1.826;0.444;1.233
Gliese 880;-0.735;-2.588;0.8
Gliese 884;-0.79;-2.963;-1.272
NN 3421;2.176;0.623;2.973
Gliese 283;3.146;1.472;-1.089
Gliese 285;2.166;1.063;0.15
GJ 1265;-1.815;-3.626;-1.293
GJ 1001;0.06;-2.966;-2.551
Gliese 835;-2.755;-3.862;2.493
Gliese 831;-1.945;-2.565;-0.555
Gliese 832;-0.787;-1.06;-1.519
Wolf 359;0.264;0.931;0.12
Gliese 402;0.678;2.178;0.272
Gliese 373;1.005;1.675;3.801
Gliese 408;0.643;2.404;1.048
Gliese 370;1.758;2.79;-3.13
Gliese 96;1.895;-2.65;3.603
Gliese 95;2.649;-3.819;-2.261
Gliese 91;2.359;-3.568;-2.677
Gliese 170;3.017;-1.244;2.725
Gliese 172;2.347;-0.881;3.314
Gliese 176;3.389;-1.185;1.234
Wo 9520;-3.345;2.76;1.663
Lambda Serpentis;-3.968;2.615;0.613
NN 3500;2.652;1.987;-3.313
Beta Hydri;0.075;-0.669;-2.972
Beta Canum Venaticorum;-0.376;2.534;2.255
Gliese 2;0.074;-3.268;3.36
Gliese 1;0.033;-1.413;-1.079
Gliese 4;0.083;-3.339;3.435
Gliese 277;3.474;1.474;2.765
Gliese 537;-1.609;2.718;3.31
Gliese 536;-2.089;3.58;-0.192
Gliese 309;3.325;2.618;-2.593
LHS 292;0.558;1.721;-0.362
Gliese 300;1.867;1.219;-0.881
GJ 1028;1.081;-3.721;-1.269
NN 3147;1.937;-2.841;2.448
Gliese 908;-0.115;-2.429;0.102
NN 4201;-2.749;-3.661;2.092
12 Ophiuchi;-3.721;1.422;-0.162
Vega;-2.433;-0.396;1.981
GJ 1119;2.045;2.056;3.066
GJ 1118;3.993;3.96;-3.408
GJ 1116;1.429;1.408;0.721
Gliese 620.1;-3.694;1.653;-3.304
DX Cancri;1.047;0.802;0.666
GJ 1234;-3.497;-1.255;2.98
GJ 1235;-3.628;-1.351;1.477
GJ 1232;-3.959;-1.246;1.322
GJ 1230;-2.678;-0.486;1.257
Altair;-1.834;-0.963;0.323
Gliese 643;-2.517;0.729;-0.383
Gliese 226;0.525;0.024;3.794
NN 4053;-1.194;-0.099;2.717
Gliese 879;-0.727;-2.552;-1.63
Ross 154;-1.082;-0.239;-0.49
61 Cygni;-0.759;-0.807;0.889
Gamma Leporis;3.372;-0.229;-1.396
Gliese 873;-0.462;-1.398;1.439
Lacaille 8760;-0.817;-0.95;-1.01
Gliese 876;-0.533;-1.781;-0.472
Gliese 748;-3.928;-1.281;0.208
Groombridge 1830;0.091;2.951;2.285
NN 3517;2.531;2.394;-0.212
GJ 2005;0.294;-2.716;-1.401
NN 3512;1.573;1.335;3.506
NN 3518;3.279;3.149;-2.012
GJ 1156;-0.218;2.607;0.514
Gliese 293;0.939;0.505;-2.608
GJ 1093;2.884;0.765;1.049
36 Ophiuchi;-2.141;0.422;-1.093
Gliese 570;-1.986;2.031;-1.114
Gliese 572;-2.377;2.357;3.398
Wolf 424;-0.252;1.716;0.275
Gliese 229;2.182;0.1;-0.877
Gliese 48;0.281;-1.005;3.153
Gliese 49;0.514;-1.832;3.632
Gliese 540.2;-2.544;3.876;-0.987
Gliese 341;1.351;1.633;-3.713
Zeta Herculis;-3.53;1.262;2.306
Gliese 47;0.558;-2.039;3.873
Wo 9492;-1.062;1.24;3.677
Gliese 611;-3.981;2.185;3.698
GJ 1245;-1.207;-0.655;1.346
Gliese 618;-2.483;1.157;-2.104
Arcturus;-2.418;3.596;1.508
GJ 1151;0.086;2.22;2.503
Beta Comae Berenices;-1.018;3.138;1.745
GJ 1154;-0.215;3.441;0.038
Groombridge 1618;0.589;1.149;1.51
Delta Eridani;3.006;-2.042;-0.625
NN 3820;-1.702;2.971;-1.235
NN 3126;0.912;-1.555;3.657
NN 3049;0.572;-2.979;-2.663
Castor;5.012;2.194;3.404
Lambda Velorum;35.49;38.05;-49.26
Eta Canis Majoris;325.4;125;-195.6
Diphda;2.154;-11.19;-3.699
Epsilon Carinae;32.59;23.35;-68.09
Denebola;0.209;4.372;1.138
Epsilon Centauri;-11.8;25.35;-37.74
10 Sagittarii;-10.36;-0.263;-6.083
Gamma Corvi;-1.355;19.61;-6.213
Alpha Aquarii;-45.32;-83.28;-0.529
Zeta Sagittarii;-9.298;-2.605;-5.548
Beta Arietis;3.339;-6.109;2.646
